Master Spreadsheet Sub Area,Master Spreadsheet Topic,Policy Area,Sub Area,Topic,Summary,Comments
,,Education,Higher Education,Two Year Post-Secondary Guarantees for Qualifying Students,,
Education Rights,Universal Pre-K Education,Education,Education Rights,Universal Pre-K Education,,
Resources For School/ Funding/ Support,Youth Development Fund,Education,School Funding and Resources,Youth Development Fund,,
Clean Energy investment,Alternative Energy Trust Fund,Energy and Environment,Clean Energy Investment,Alternative Energy Trust Fund,"Bill creates a trust fund to finance the activities of a clean energy technology center and to make investments in clean energy RandD, manufacturing, education, and programs.",
Environmental Health and Urban Agriculture,Anti-Corporate Farming,Energy and Environment,Environmental Health and Urban Agriculture,Anti-Corporate Farming,"To counter corporate ownership, nine states have placed some sort of restrictions on corporate-owned farms. Two -- Nebraska and South Dakota--have anti-corporate farming restrictions written into their constitutions. (These have since been ruled unconstitutional.) The other seven--Iowa, Kansas, Missouri, Minnesota, Oklahoma, North Dakota and Wisconsin--have statutes restricting corporate involvement in agriculture, though most include loopholes that dilute the impact of the ban. Kansas, however, does allow counties to vote on whether to oppose corporate farming, and over 20 have done so.",
Energy Efficiency,Appliance Efficiency Standards,Energy and Environment,Energy Efficiency and Standards,Appliance Efficiency Standards,,
Environmental Health and Urban Agriculture,Ban On Corporate Environmental Violators,Energy and Environment,Environmental Health and Urban Agriculture,Ban on Corporate Environmental Violators,,
Other,Banning Corporate Water Withdrawls For Resale,Energy and Environment,Environmental Health and Urban Agriculture,Banning Corporate Water Withdrawals for Resale,,
Waste/Recycling,Bottle Bill,Energy and Environment,Waste and Recycling,Bottle Bill,,
Energy Efficiency,Building Energy Performance Audits and Disclosure,Energy and Environment,Energy Efficiency and Standards,Building Energy Performance Audits and Disclosure,,
Climate Change,Carbon Tax,Energy and Environment,Climate Change,Carbon Tax,,
Utilities,Citizens Utility Board,Energy and Environment,Utilities,Citizens Utility Board,,
Alternative Fuels,City Fleet Biodiesel,Energy and Environment,Renewable Energy and Fuels,City Fleet Biodiesel,,
Climate Change,Climate Action Plan Excise Tax,Energy and Environment,Climate Change,Climate Action Plan Excise Tax,,
Climate Change,Climate Change Impact Assessment,Energy and Environment,Climate Change,Climate Change Impact Assessment,,
,,Energy and Environment,Coastal Zones,Coastal Zone Management,,
Environmental Health and Urban Agriculture,Community Gardens,Energy and Environment,Environmental Health and Urban Agriculture,Community Gardens,,
,,Energy and Environment,Environmental Health and Urban Agriculture,Community Impact Report,,
,,Energy and Environment,Climate Change,Complete Streets,,
,,Energy and Environment,Environmental Health and Urban Agriculture,Complete Streets,,
Renewable Energy,Cooperative Wind,Energy and Environment,Renewable Energy and Fuels,Cooperative Wind,,
,,Energy and Environment,Energy Efficiency and Standards,Efficient Location of Public Buildings,,
Waste/Recycling,Electronics Recycling,Energy and Environment,Waste and Recycling,Electronics Recycling,,
,,Energy and Environment,Climate Change,Emissions Standards for Power Plants,,
,,Energy and Environment,Environmental Health and Urban Agriculture,Emissions Standards for Power Plants,,
Utilities,Tigher Emissions Standards For Power Plants,Energy and Environment,Utilities,Emissions Standards for Power Plants,,
Energy Efficiency,Energy Audits and Retrocommissioning,Energy and Environment,Energy Efficiency and Standards,Energy Audits and Retrocommissioning,,
Energy Efficiency,Energy Conservation Building Code,Energy and Environment,Energy Efficiency and Standards,Energy Conservation Building Code,,
Other,Environmental Justice Task Force,Energy and Environment,Environmental Health and Urban Agriculture,Environmental Justice Task Force,,
Environmental Health and Urban Agriculture,Environmental Protections in Schools,Energy and Environment,Environmental Health and Urban Agriculture,Environmental Protections in Schools,,
,,Energy and Environment,Clean Energy Investment,Feed-in-Tariff,,
Renewable Energy,Feed-in-Tariff,Energy and Environment,Renewable Energy and Fuels,Feed-in-Tariff,,
Environmental Health and Urban Agriculture,Food System Metrics,Energy and Environment,Environmental Health and Urban Agriculture,Food System Metrics,,
Environmental Health and Urban Agriculture,Fracking Ban,Energy and Environment,Environmental Health and Urban Agriculture,Fracking Ban,,
Environmental Health and Urban Agriculture,Gmo Ban,Energy and Environment,Environmental Health and Urban Agriculture,Genetically Modified Organism Ban,,
Environmental Health and Urban Agriculture,Gmo Labeling,Energy and Environment,Environmental Health and Urban Agriculture,Genetically Modified Organism Labeling,,
Energy Efficiency,Government Building Energy Efficiency Assessment and Improvement,Energy and Environment,Energy Efficiency and Standards,Government Building Energy Efficiency Assessment and Improvement,,
Clean Energy investment,Green Banks,Energy and Environment,Clean Energy Investment,Green Banks,,
,,Energy and Environment,Renewable Energy and Fuels,Green Banks,,
Energy Efficiency,Green Building Requirements/ Updated Building Codes,Energy and Environment,Energy Efficiency and Standards,Green Building Requirements,,
Clean Energy investment,Green Economy Priority For Redevelopment Grants,Energy and Environment,Clean Energy Investment,Green Economy Priority for Redevelopment Grants,,
,,Energy and Environment,Renewable Energy and Fuels,Green Economy Priority for Redevelopment Grants,,
Clean Energy investment,Green Economy State Agency Report,Energy and Environment,Clean Energy Investment,Green Economy State Agency Report,,
,,Energy and Environment,Renewable Energy and Fuels,Green Economy State Agency Report,,
,,Energy and Environment,Renewable Energy and Fuels,Green Jobs Task Force,,
,,Energy and Environment,Renewable Energy and Fuels,Green Jobs Training,,
Energy Efficiency,Green Schools,Energy and Environment,Energy Efficiency and Standards,Green Schools,,
Energy Efficiency,Lighting and Submeters,Energy and Environment,Energy Efficiency and Standards,Lighting and Submeters,,
,,Energy and Environment,Utilities,Lighting and Submeters,,
,,Energy and Environment,Energy Efficiency and Standards,Local Farm Product Tax Credit for Grocers,,
Environmental Health and Urban Agriculture,Local Food Procurement,Energy and Environment,Environmental Health and Urban Agriculture,Local Food Procurement,,
,,Energy and Environment,Energy Efficiency and Standards,Location Efficient School Siting,,
,,Energy and Environment,Climate Change,Low Emission Vehicles,,
Alternative Fuels,Low Emission Vehicles,Energy and Environment,Renewable Energy and Fuels,Low Emission Vehicles,,
Environmental Health and Urban Agriculture,Mercury Poisoning,Energy and Environment,Environmental Health and Urban Agriculture,Mercury Poisoning,,
Clean Energy investment,MicroEnergy Loan Program,Energy and Environment,Clean Energy Investment,MicroEnergy Loan Program,,
,,Energy and Environment,Renewable Energy and Fuels,MicroEnergy Loan Program,,
,,Energy and Environment,Climate Change,Municipal Environmental Regulation,,
Other,Municipal Environmental Regulation,Energy and Environment,Environmental Health and Urban Agriculture,Municipal Environmental Regulation,,
,,Energy and Environment,Utilities,Municipal Environmental Regulation,,
,,Energy and Environment,Energy Efficiency and Standards,Net Metering and Smart Metering,,
Utilities,Net Metering/Smart Metering/Dg,Energy and Environment,Utilities,Net Metering and Smart Metering,,
Energy Efficiency,On-Bill Recovery For Building Retrofits,Energy and Environment,Energy Efficiency and Standards,On-Bill Recovery for Building Retrofits,,
,,Energy and Environment,Environmental Health and Urban Agriculture,Open Space Development,,
Waste/Recycling,Paper Waste Recycling,Energy and Environment,Waste and Recycling,Paper Waste Recycling,,
Environmental Health and Urban Agriculture,Pesticide Ban,Energy and Environment,Environmental Health and Urban Agriculture,Pesticide Ban,,
Energy Efficiency,Property Assessed Clean Energy (Pace) For Building Retrofits,Energy and Environment,Energy Efficiency and Standards,Property Assessed Clean Energy for Building Retrofits,,
,,Energy and Environment,Waste and Recycling,Recycled Materials Procurement Policies,,
Clean Energy investment,Rps/Rfs,Energy and Environment,Clean Energy Investment,Renewable Energy Portfolio Standards,,
,,Energy and Environment,Renewable Energy and Fuels,Renewable Energy Portfolio Standards,,
Energy Efficiency,Residential Ee Standards,Energy and Environment,Energy Efficiency and Standards,Residential Energy Efficiency Standards,,
,,Energy and Environment,Clean Energy Investment,Revolving Loan Fund or Tax Credits for Building Energy Improvements,,
Energy Efficiency,Revolving Loan Fund Or Tax Credits For Building Energy Improvements,Energy and Environment,Energy Efficiency and Standards,Revolving Loan Fund or Tax Credits for Building Energy Improvements,,
Environmental Health and Urban Agriculture,Rooftop Farming,Energy and Environment,Environmental Health and Urban Agriculture,Rooftop Farming,,
,,Energy and Environment,Utilities,Smart Grid,,
,,Energy and Environment,Clean Energy Investment,Solar Efficiency Bond,,
Renewable Energy,Solar Efficiency Bond,Energy and Environment,Renewable Energy and Fuels,Solar Efficiency Bond,,
,,Energy and Environment,Utilities,Solar Efficiency Bond,,
,,Energy and Environment,Clean Energy Investment,State Clean Energy Agency,,
Other,Storm Water Management Ordinance,Energy and Environment,Environmental Health and Urban Agriculture,Storm Water Management,,
Environmental Health and Urban Agriculture,Urban Agriculture Zoning,Energy and Environment,Environmental Health and Urban Agriculture,Urban Agriculture Zoning,,
Waste/Recycling,Urban Composting,Energy and Environment,Waste and Recycling,Urban Composting,,
,,Energy and Environment,Environmental Health and Urban Agriculture,Urban Farming,,
Utilities,Utility Rate Decoupling,Energy and Environment,Utilities,Utility Rate Decoupling,,
Environmental Health and Urban Agriculture,Wetland Protection,Energy and Environment,Environmental Health and Urban Agriculture,Wetland Protection,,
,,Energy and Environment,Environmental Health and Urban Agriculture,Worker and Community Right to Know,,
Government Accountability,Alec Accountability Act,Government Performance,Government Accountability,ALEC Accountability Act,,
Government Procurement/ Contracting,Anti-Expatriate Companies in Gov Contracting,Government Performance,Government Procurement and Contracting,Anti-Expatriate Companies in Government Contracting,,
Government Procurement/ Contracting,Anti-Sweatshop Goods in Government Procurement,Government Performance,Government Procurement and Contracting,Anti-Sweatshop Procurement Policies,,
,,Government Performance,Government Accountability,Audit of City Owned Land,,
,,Government Performance,Government Procurement and Contracting,Banking in Low Income Communities,"Cleveland Ordinance (Sect. 178.05-09 of municipal code): in order to contract with the city, banks must submit plans and have plans approved re: how the bank will increase its home/small business loans and other banking services to the city's residents, esp. low income residents",
,,Government Performance,Government Procurement and Contracting,Banking with Credit Unions,,
Government Procurement/ Contracting,Best Value Contracting,Government Performance,Government Procurement and Contracting,Best Value Contracting,,
,,Government Performance,Government Accountability,Bulk Purchasing of Medications and Use of Safe Generics,"The Fair Market Drug Pricing Act: Directs the state Secretary of Health (or similar cabinet Secretary) to negotiate voluntary drug discounts or rebates from prescription drug manufacturers and labelers; Gives the Secretary the leverage to negotiate with drug companies much the same way HMOs and health insurance companies negotiate—allowing the Secretary to place on the state Medicaid “prior authorization” list the products of any drug company that refuses to offer a substantial discount that is at least as favorable as the “340B” price; Directs the Secretary to set up and administer an Rx Card program, passing negotiated discounts to the people who need them—uninsured seniors on Medicare and residents under 300 percent of the poverty level; Empowers the Secretary to combine drug pricing negotiations for Medicaid, the Rx Card program, and any other state health programs, to maximize the Secretary’s market clout.",
Government Procurement/ Contracting,Buy American,Government Performance,Government Procurement and Contracting,Buy American,,
,,Government Performance,Direct Democracy and Citizen Engagement,Citizens Utility Board,,
,,Government Performance,Government Accountability,Citizens Utility Board,,
,,Government Performance,Government Accessibility,Community Impact Report,,
Government Procurement/ Contracting,Cooperative Procurement,Government Performance,Government Procurement and Contracting,Cooperative Procurement,,
,,Government Performance,Government Accountability,Corrections Impact Statement on Legislation,,
,,Government Performance,Government Accountability,Detailed Corporate Subsidy and Bid Application,,
Voting and Election Reform,Direct Democracy At Town Meetings,Government Performance,Direct Democracy and Citizen Engagement,Direct Democracy at Town Meetings,,
,,Government Performance,Government Procurement and Contracting,Divesting Government Funds from Banks that do not Cooperate with Foreclosure Prevention Efforts ,,
,,Government Performance,Government Accountability,Efficient Location of Public Buildings,,
,,Government Performance,"Task Forces, Research and Strategic Planning",Environmental Justice Task Force,,
,,Government Performance,Government Accessibility,Equal Access to Housing Services,,
,,Government Performance,Government Accessibility,Equal Access to Social Services,,
Government Procurement/ Contracting,Performance Contracting/ Evidence-Based Privatization/ Cost-Benefit Analysis On Using Public Workers instead of Private,Government Performance,Government Accountability,Evidence-Based Privatization,,
,,Government Performance,Government Procurement and Contracting,Evidence-Based Privatization,,
Government Accessibility,State Public Records Law/Foia,Government Performance,Government Accessibility,Freedom of Information,,
Government Procurement/ Contracting,Gov't Employee Residency Requirements,Government Performance,Public Sector Workers,Government Employee Residency Requirements,,
Government Procurement/ Contracting,Government Procurement Anti-offshoring,Government Performance,Government Procurement and Contracting,Government Procurement Anti-Offshoring,,
,,Government Performance,"Task Forces, Research and Strategic Planning",Green Jobs Task Force,,
,,Government Performance,"Task Forces, Research and Strategic Planning",Industry Partnerships,,
Government Procurement/ Contracting,international Trade Agreements,Government Performance,Government Procurement and Contracting,International Trade Agreements,,
,,Government Performance,Public Ownership,Land Banking,,
Government Accountability,Link Community indicators With Government Performance Measures,Government Performance,Government Accountability,Link Community Indicators with Government Performance Measures,,
Government Procurement/ Contracting,Living Wage Requirements in Government Contracts,Government Performance,Government Procurement and Contracting,Living Wage Requirements in Government Contracts,,
Government Procurement/ Contracting,Local Hiring Preferences,Government Performance,Government Procurement and Contracting,Local Hiring Preferences,,
,,Government Performance,Government Accessibility,Local Language Access to Local Services,,
,,Government Performance,Government Procurement and Contracting,Local Lending Preferences,,
Government Procurement/ Contracting,Local Purchasing Preferences,Government Performance,Government Procurement and Contracting,Local Purchasing Preferences,,
,,Government Performance,"Task Forces, Research and Strategic Planning",Low Income Housing Analysis,,
,,Government Performance,Public Sector Workers,Mortgage Assistance to Public Employees,,
,,Government Performance,Government Procurement and Contracting,Municipal Cooperative Development Agreements,,
Government Procurement/ Contracting,On Site Employee Health Center,Government Performance,Government Procurement and Contracting,On Site Employee Health Center,,
Government Accessibility,Open Source Policy,Government Performance,Government Accessibility,Open Source Policy,,
Government Procurement/ Contracting,Pay To Play Contribution Limits,Government Performance,Government Procurement and Contracting,Pay to Play Contribution Limits,,
Government Accountability,Performance Reviews,Government Performance,Government Accountability,Performance Reviews,,
Government Accountability,PerformanceStat,Government Performance,Government Accountability,PerformanceStat,,
,,Government Performance,Government Procurement and Contracting,Prohibiting Public Contracts to Discriminating Contractors,,
Government Procurement/ Contracting,Raising Labor Standards Through Gov't Procurement - Project Labor Agreements (Plas)/Community Workforce Agreements (Cwas),Government Performance,Government Procurement and Contracting,Project Labor Agreements and Community Workforce Agreements,,
,,Government Performance,Government Accountability,Property Tax Reduction and Abatement Report,,
,,Government Performance,Government Procurement and Contracting,Recycled Materials Procurement Policies,,
Government Procurement/ Contracting,Regulation of Government Use of Private Contractors,Government Performance,Government Procurement and Contracting,Regulation of Government Use of Private Contractors,,
,,Government Performance,Government Procurement and Contracting,Responsible Banking,,
,,Government Performance,"Task Forces, Research and Strategic Planning",Social Entrepreneurship Task Force,,
Government Procurement/ Contracting,State and Public Access To Contractor Records For Contracts Valued Over $2.5 Million,Government Performance,Government Accessibility,State and Public Access to Highly Valued Contract,,
,,Government Performance,Government Procurement and Contracting,State and Public Access to Highly Valued Contract,,
,,Government Performance,"Task Forces, Research and Strategic Planning",State Clean Energy Agency,,
,,Government Performance,Public Sector Workers,State Pension Fund Investment in Economically Targeted Areas,,
,,Government Performance,Public Sector Workers,State Pension Fund Investment in State Firms,,
,,Government Performance,Government Accountability,Structures and Dredging,,
,,Government Performance,Government Accountability,Subsidy Clawbacks,,
,,Government Performance,Government Accountability,Subsidy Limits and Job Quality Standards,,
,,Government Performance,Government Accountability,Subsidy Transparency and Clawbacks,,
,,Government Performance,"Task Forces, Research and Strategic Planning",Tax Expenditure Cost Benefit Analysis,,
,,Government Performance,Government Accountability,Unified Development Budgets,,
,,Health,Reproductive and Women's Health,Anti-Shackling Laws for Pregnant Inmates,,
Dental Care,Authorize New Primary Care Dental Providers,Health,Dental Care,Authorize New Primary Care Dental Providers,,
,,Health,Efficient Health Care Systems,Benchmarking Affordable Care Act (ACA) Benefits,,
,,Health,Public Health,Bike Promotion ,,
Prescription Drugs,Bulk Purchasing of Medications and Use of Safe Generics,Health,Prescription Drugs,Bulk Purchasing of Medications and Use of Safe Generics,"The Fair Market Drug Pricing Act: Directs the state Secretary of Health (or similar cabinet Secretary) to negotiate voluntary drug discounts or rebates from prescription drug manufacturers and labelers; Gives the Secretary the leverage to negotiate with drug companies much the same way HMOs and health insurance companies negotiate—allowing the Secretary to place on the state Medicaid “prior authorization” list the products of any drug company that refuses to offer a substantial discount that is at least as favorable as the “340B” price; Directs the Secretary to set up and administer an Rx Card program, passing negotiated discounts to the people who need them—uninsured seniors on Medicare and residents under 300 percent of the poverty level; Empowers the Secretary to combine drug pricing negotiations for Medicaid, the Rx Card program, and any other state health programs, to maximize the Secretary’s market clout.",
Efficient Health Care Systems/ Health Care Programming,Bundled Hospital Care Payments,Health,Efficient Health Care Systems,Bundled Hospital Care Payments,,
,,Health,Public Health,Comprehensive Sex and HIV Education,,
,,Health,Reproductive and Women's Health,Comprehensive Sex and HIV Education,,
Affordable Health Care/ Access To Health Care,Consumer Directed Care,Health,Access to Affordable Health Care,Consumer Directed Care,,
Prescription Drugs,Contraceptive Equity,Health,Prescription Drugs,Contraceptive Equity,,
,,Health,Access to Affordable Health Care,Dependent Care Tax Credit,,
Employer Health Care Responsibilities,Employer Health Care Disclosure,Health,Employer Health Care Responsibilities,Employer Health Care Disclosure,,
,,Health,Reproductive and Women's Health,Equality of Conscience Clause,,
,,Health,Reproductive and Women's Health,Essential Health Benefits,,
Employer Health Care Responsibilities,Fair Share Health Care,Health,Employer Health Care Responsibilities,Fair Share Health Care,,
Public Health,Fire-Safe Cigarettes,Health,Public Health,Fire-Safe Cigarettes,,
,,Health,Nutrition,Food System Metrics,,
,,Health,Reproductive and Women's Health,Free Access to Gynecological Services,,
,,Health,Public Health,Full Service Community Schools,,
Affordable Health Care/ Access To Health Care,Health Care For All,Health,Access to Affordable Health Care,Health Care for Employees of Small and Medium Sized Businesses and Self Employed Individuals,,
Efficient Health Care Systems/ Health Care Programming,Health information Technology ,Health,Efficient Health Care Systems,Health Information Technology ,,
Affordable Health Care/ Access To Health Care,Strong Health Exchanges,Health,Access to Affordable Health Care,Health Insurance Exchanges,,
Efficient Health Care Systems/ Health Care Programming,Model Health Care Exchanges,Health,Efficient Health Care Systems,Health Insurance Exchanges,,
,,Health,Nutrition,Healthy Food in School Cafeterias,,
Nutrition,Healthy Food Zones Around Schools,Health,Nutrition,Healthy Food Zones Around Schools,,
Nutrition,Healthy Food Zoning,Health,Nutrition,Healthy Food Zoning,,
Nutrition,Healthy Kids Meals in Restaurants,Health,Nutrition,Healthy Kids Meals in Restaurants,,
,,Health,Efficient Health Care Systems,Home Health Care Unionization Rights,,
,,Health,Employer Health Care Responsibilities,Independent Medical Exams,,
,,Health,Nutrition,Local and Organic Food Purchasing Policy,,
Efficient Health Care Systems/ Health Care Programming,"Snap Ebt Cards, Wic Vouchers, and Sfmnp For Farmer's Markets",Health,Nutrition,Low Income Access to Farmers' Markets,,
Prescription Drugs,Mandatory Generic Drugs For Medicaid,Health,Prescription Drugs,Mandatory Generic Drugs for Medicaid,,
,,Health,Prescription Drugs,Mandatory Pharmacy Compliance with Prescriptions,,
,,Health,Access to Affordable Health Care,Medicaid Coverage,,
Public Health,Medical Marijuana,Health,Public Health,Medical Marijuana,,
Mental Health,Mental Health Parity,Health,Mental Health,Mental Health Parity,,
,,Health,Public Health,Mercury Poisoning,,
,,Health,Nutrition,Nutrition at School,,
,,Health,Public Health,Nutrition at School,,
,,Health,Employer Health Care Responsibilities,On Site Employee Health Center,,
,,Health,Employer Health Care Responsibilities,Part-Time Parity for Benefits,,
,,Health,Public Health,Pesticide Ban,,
,,Health,Prescription Drugs,Pharmacy Access to Emergency Contraception,,
,,Health,Reproductive and Women's Health,Pharmacy Access to Emergency Contraception,,
,,Health,Reproductive and Women's Health,Prenatal Care for Women Regardless of Immigration Status,,
Prescription Drugs,Prescription Drug Costs,Health,Prescription Drugs,Prescription Drug Costs,,
Public Health,Prohibiting Nontherapeutic Use of Antibiotics in Animal Feed,Health,Public Health,Prohibiting Nontherapeutic Use of Antibiotics in Animal Feed,,
,,Health,Public Health,Protection from Prison Rape,,
,,Health,Reproductive and Women's Health,Rape Survivor Access to Emergency Contraception at Hospitals,,
,,Health,Public Health,Sex and Sexuality Education,,
,,Health,Reproductive and Women's Health,Sex and Sexuality Education,,
Affordable Health Care/ Access To Health Care,Single-Payer Health Care insurance,Health,Access to Affordable Health Care,Single-Payer Health Care Insurance,,
Public Health,Smoke-Free Workplaces,Health,Public Health,Smoke-Free Workplaces,,
Research,Stem Cell Research,Health,Health Research,Stem Cell Research,,
Nutrition,Tax Breaks For Grocery Stores That Locate in Food Deserts,Health,Nutrition,Tax Breaks for Grocery Stores that Locate in Food Deserts,,
Affordable Health Care/ Access To Health Care,Transparent Rate Change Approval Process,Health,Access to Affordable Health Care,Transparent Rate Change Approval Process,,
Affordable Health Care/ Access To Health Care,Universal Child Health insurance,Health,Access to Affordable Health Care,Universal Child Health Insurance,,
,,Health,Nutrition,Urban Farming,,
,,Health,Public Health,Youth Development Fund,,
Access To Government Services and Benefits,Model State Anti-Language Discrimination Laws,Immigrant Rights,Access to Government Services and Benefits,Anti-Language Discrimination Laws,,
,,Immigrant Rights,Policing,Anti-USA Patriot Act and Homeland Security Act,"The Bill of Rights Defense Committee (BORDC) has helped craft a number of municipal ordinances that disallow the use of community resources to implement certain requirements of the 2002 USA Patriot Act, The Homeland Security Act and other executive orders passed after the terrorist attacks of 2001.",
Access To Government Services and Benefits,Confidentiality in Access To State Benefits and Programs,Immigrant Rights,Access to Government Services and Benefits,Confidentiality in Access to State Benefits and Programs,,
Access To Government Services and Benefits,"No Municipal Discrimination After Issuance of A ""No Match"" Letter",Immigrant Rights,Access to Government Services and Benefits,"Employee Protection From ""No Match"" Letters",,
Access To Government Services and Benefits,Equal Access To Housing Services,Immigrant Rights,Access to Government Services and Benefits,Equal Access to Housing Services,,
Access To Government Services and Benefits,Equal Access To Social Services,Immigrant Rights,Access to Government Services and Benefits,Equal Access to Social Services,,
Drivers' Licenses and Gov Issued Id's,Immigrant Drivers' Licenses,Immigrant Rights,Drivers' Licenses and Government Issued IDs,Immigrant Drivers' Licenses,,
Post-Secondary Education,in-State Tuition and Aid For Qualified Undocumented Students,Immigrant Rights,Immigrant Education,In-State Tuition and Aid for Qualified Undocumented Students,"Currently, federal law prohibits states from granting unauthorized aliens certain postsecondary educational benefits on the basis of state residence, unless equal benefits are made available to all U.S. citizens. This prohibition is commonly understood to apply to the granting of “in-state” residency status for tuition purposes. Legislation to amend this federal law has routinely been introduced in previous Congresses, and several similar bills have been introduced in the 111th Congress, including H.R. 1751, S. 729, and H.R. 4321. Meanwhile, some states have passed laws aimed at making unauthorized state residents eligible for in-state tuition without violating this provision. . ",
Access To Government Services and Benefits,Lep Access To Work-Related Benefits On The State Level,Immigrant Rights,Access to Government Services and Benefits,Limited English Proficiency Access to Work-Related Benefits,,
Access To Government Services and Benefits,Local Language Access Ordinances To increase Access To Local Services,Immigrant Rights,Access to Government Services and Benefits,Local Language Access to Local Services,,
Drivers' Licenses and Gov Issued Id's,Municipal Identification Cards,Immigrant Rights,Drivers' Licenses and Government Issued IDs,Municipal Identification Cards,,
Health Care,Prenatal Care For Women Regardless of Immigration Status,Immigrant Rights,Immigrant Health Care,Prenatal Care for Women Regardless of Immigration Status,,
Access To Government Services and Benefits,Prohibition On Local Enforcement of Immigration Laws,Immigrant Rights,Policing,Prohibition on Local Enforcement of Immigration Laws,"The Immigration and Nationality Act (inA) and the Antiterrorism and Effective Death Penalty Act of 1996 (AEDPA) authorize state and local police to enforce the criminal provisions of federal immigration laws. Recently at issue is the power of state and local law enforcement to make arrests or otherwise enforce the civil provisions of the immigration laws. Turning local police into the inS deters immigrants from accessing or cooperating with the police for fear of immigration consequences. When immigrants are afraid to file claims with administrative agencies, call the police, or go to court, immigrants can’t benefit from the protections of law enforcement. Claiming that state and local law enforcement officers have the inherent authority to enforce federal immigration laws wholly contradicts the long-standing principle that immigration matters are a federal concern and would render sections of the inA detailing the conditions for state and local enforcement of immigration laws meaningless. Comprehensive model language would include the points outlined in the Model Confidentiality Provisions in addition to a clear prohibition on the use of state and local resources for immigration law enforcement.",
Access To Government Services and Benefits,State Laws That offer Special Protections To Non-English Speaking Employees,Immigrant Rights,Access to Government Services and Benefits,Special Protections to Non-English Speaking Employees,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Accessory Dwelling Units,,
Land Use,Audit of City Owned Land,Infrastructure and Smart Growth,Land Use and Building Standards,Audit of City Owned Land,,
Land Use,Backyard/Granny Apartments,Infrastructure and Smart Growth,Land Use and Building Standards,Backyard Apartments,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Big Box Retailing,,
Roads and Transportation,Bike Promotion ,Infrastructure and Smart Growth,Roads and Transportation,Bike Promotion ,,
Land Use,Coastal Zone Management,Infrastructure and Smart Growth,Land Use and Building Standards,Coastal Zone Management,,
internet Access,Community Broadband infrastructure,Infrastructure and Smart Growth,Internet Access,Community Broadband Infrastructure,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Community Gardens,,
Roads and Transportation,Complete Streets,Infrastructure and Smart Growth,Roads and Transportation,Complete Streets,,
Roads and Transportation,Demand Management Through Tolling,Infrastructure and Smart Growth,Roads and Transportation,Demand Management through Tolling,,
Roads and Transportation,Discretionary Funding For St Projects,Infrastructure and Smart Growth,Roads and Transportation,Discretionary Funding for Smart Transportation Projects,,
Land Use,Economic Development incentive Grant,Infrastructure and Smart Growth,Land Use and Building Standards,Economic Development Incentive Grant,,
Land Use,Efficient Location of Public Buildings,Infrastructure and Smart Growth,Land Use and Building Standards,Efficient Location of Public Buildings,,
Land Use,Eminent Domain Moratorium,Infrastructure and Smart Growth,Land Use and Building Standards,Eminent Domain Moratorium,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Energy Audits and Retrocommissioning,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Energy Conservation Building Code,,
Roads and Transportation,Fix-It-First,Infrastructure and Smart Growth,Roads and Transportation,Fix-it-First,,
Roads and Transportation,Flexibility of Transportation Revenues,Infrastructure and Smart Growth,Roads and Transportation,Flexibility of Transportation Revenues,,
Roads and Transportation,Freight Rail Support,Infrastructure and Smart Growth,Roads and Transportation,Freight Rail Support,,
Roads and Transportation,"Funding Formulas (Discretionary, Lane-Mile Formulas, Etc.)",Infrastructure and Smart Growth,Roads and Transportation,Funding Formulas,fix topic title,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Government Building Energy Efficiency Assessment and Improvement,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Green Building Requirements,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Healthy Food Zoning,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Inclusionary Zoning,,
,,Infrastructure and Smart Growth,Infrastructure Financing,Infrastructure Bank,,
,,Infrastructure and Smart Growth,Infrastructure Financing,Infrastructure Tax Credits,,
Land Banks,Land Bank Fast Track Authority,Infrastructure and Smart Growth,Land Use and Building Standards,Land Banking,,
Roads and Transportation,Lifecycle Costing,Infrastructure and Smart Growth,Roads and Transportation,Lifecycle Costing,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Local Permitting for Affordable Housing,,
Land Use,Location Efficient School Siting,Infrastructure and Smart Growth,Land Use and Building Standards,Location Efficient School Siting,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Location Efficient Subsidies,,
Roads and Transportation,Mpo Reform,Infrastructure and Smart Growth,Roads and Transportation,Metropolitan Planning Organization (MPO) Reform,,
Roads and Transportation,Mta Tax,Infrastructure and Smart Growth,Roads and Transportation,Metropolitan Transit Authority Tax,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Multi-Parcel Development Standards,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,On-Bill Recovery for Building Retrofits,,
Land Use,Open Space Development,Infrastructure and Smart Growth,Land Use and Building Standards,Open Space Development,,
Roads and Transportation,Pay As You Drive Car insurance,Infrastructure and Smart Growth,Roads and Transportation,Pay as You Drive Car Insurance,,
,,Infrastructure and Smart Growth,Land Use and Building Standards,Property Assessed Clean Energy for Building Retrofits,,
