Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
"Combined Reporting, Compilation of State Tax Return Data", Compilation of State Tax Return Data Model Statute,,2006,Multistate Tax Commission,http://www.mtc.gov/,,Model,State ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Combined_Reporting/2006_Compilation_of_State_Tax_Return_Data_Model_Statute.pdf,,,"A model act requiring taxpayers who are members of a combined reporting group in which members earn income both in the state and in other states, to report income from both the taxpayer and the other members of the combined reporting group, and to report on how income is apportioned between members of the group and between different state tax systems.",,,,,
Day Care Worker Unionization Rights,2006 Washington Chapter Law 54,Quality Family Child Care Act,2006,Washington State House,http://www.leg.wa.gov/house/Pages/default.aspx,Washington,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Day_Care_Worker_Unionization_Rights/2006_Washington_Chapter_Law_54.pdf,,,Provides collective bargaining rights for family child care workers.,2006 Substitute House Bill 2353,http://apps.leg.wa.gov/documents/billdocs/2005-06/Pdf/Bills/House%20Bills/2353.pdf,http://dlr.leg.wa.gov/billsummary/default.aspx?year=2005&bill=2353,"Collective Bargaining,Public Employees,  ",
Domestic Worker Wage and Hour Protection and Rights Disclosure,2006 Nassau County Local Law Number 8-2006,,2006,Nassau County Legislature,http://www.nassaucountyny.gov/agencies/Legis/index.html,New York,Exemplary,County,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Domestic_Worker_Wage_&_Hour_Protection_And_Rights_Disclosure/2006_Nassau_County_Local_Law_Number_8-2006.pdf,,,"Requires job placement agencies to provide applicants for domestic worker positions with a written statement of rights and obligations under state and federal law, including information on minimum wage, overtime, and unemployment insurance. Job placement agencies must also provide applicants with a written statement describing the nature of the work, including the kinds of services that will be performed in the position.",,,,"Domestic Worker, Household Employee, ",
Industry Specific Wage Standards,Big Box Living Wage and Benefits Ordinance,,2006,Chicago City Council,http://www.cityofchicago.org/city/en.html,Illinois,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Industry_Specific_Wage_Standards/BigBox_Living_Wage_and_Benefits_Ordinance_Chicago.pdf,,,An ordinance requiring large retailers operating in the city to pay a wage established in the odinance and also to provie their employees benefits,,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development, Big Box Retail",
Paid Sick Days,2006 Sick Leave Protection Model Act,,2006,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Paid_Sick_Days/2006_Sick_Leave_Protection_Model_Act.pdf,,X:/COWS Program/ALICE/Web_Folder/Labor_Rights_and_Protections/Paid_Sick_Days/2006_Sick_Leave_Protection_Model_Act.doc,Requires that employers provide paid sick and safe leave to employees.,,,,Paid Leave,
Housing Discrimination,2006 Nassau County Local Law 9-2006,,2006,Nassau County Legislature,http://www.nassaucountyny.gov/agencies/Legis/index.html,New York,Exemplary,County,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Housing_Discrimination/2006_Nassau_County_Local_Law_9-2006.pdf,,,"This ordinance creates the Commission on Human Rights that can refer complaints of discrimination in housing to Administrative Law Judges employed by the county. The Commission staff enforces laws prohibiting discrimination in housing through investigations, conciliation, mediation, or hearings.",,,,,
Inclusionary Zoning,2006 Baltimore Ordinance 07-474,,2006,Baltimore City Council,http://www.baltimorecitycouncil.com/,Maryland,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Inclusionary_Zoning/2006_Baltimore_Ordinance_07-474.pdf,,,"This ordinance; mandates certain percentage of set-asides for affordable units for each projects recieving major public subsidies; provides for extra cash subsidies, exemptions, waivers, and modifications in certain situations; allows for certain  developments to apply for a density bonsus if the project would not otherwise be economically feasible or if all the units are at or below a certain housing cost; and requires that development include at least 10% affordable units for developments with 30 or more units.",,,,,
Low Income Housing Analysis,2006 California Chapter 891,Supportive Housing Development Act of 2006,2006,California legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Low_Income_Housing_Analysis/2006_California_Chapter_891.pdf,,,"This act requires that the analysis of population and employment trends and quantification of a city or county's existing and projected housing needs for all income levels in  the housing element of its general plan shall include extremely low-income households, defined as those earning no more than 30% of the median income.",2006 California Assembly Bill 2634; http://www.leginfo.ca.gov/pub/05-06/bill/asm/ab_2601-2650/ab_2634_bill_20060224_introduced.pdf,,http://www.leginfo.ca.gov/pub/05-06/bill/asm/ab_2601-2650/ab_2634_bill_20060930_history.html,,
Mortgage Assistance to Public Employees,Teacher-Firefighter-Police Housing Development Model Act,,2006,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Mortgage_Assistance_to_Public_Employees/Teacher-Firefighter-Police_Housing_Development_Model_Act.pdf,,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Mortgage_Assistance_to_Public_Employees/Teacher-Firefighter-Police_Housing_Development_Model_Act.doc,"This bill: establishes the Teacher-Firefighter-Police Housing Development Foundation (Foundation) and dictates the purpose of the Foundation and the composition of its board; requires the Foundation to develop, implement, and administer a home loan program to provide special home loan financing to teachers, firefighters and law enforcement officers selected by the board; and lists funding options that must be incuded in the home loan program.",,,,,
Reduce Assets Limits on Temporary Assistance for Needy Families (TANF) Recipients,2006 Colorado Chapter 162,,2006,Colorado legislature,http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm,Colorado,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Reduce_Assets_Limits_on_Temporary_Assistance_for_Needy_Families_(TANF)_Recipients/2006_Colorado_Chapter_162.pdf,,,This act expands asset limit for families receiving TANF and other public benefits and exempt all asset classes such as retirement and education savings accounts from asset limits.,2006 Colorado Senate Bill 134; ,,,,
Big Box Retailing,2006 Brattleboro Vermont Zoning Amendment,,2006,Brattleboro Select Board,http://www.brattleboro.org/,Vermont,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/2006_Brattleboro_Vermont_Zoning_Amendment.pdf,,,"An act which requires all proposals for retail stores in excess of 65,000 square feet to undergo an economic and community impact analysis.
Theanalysis is to be conducted by a consultant chosen 
from a list of qualified consultants approved by the Brattleboro 
Development Review Board.
The analysis must estimate the proposed big-box store’s 
net impact on employment, the cost of providing public services to the 
store, the impact on surrounding property values, the extent to which 
the store’s sales will come at the expense of existing retailers, and 
how much of its revenue will be redirected back into the local economy.
Localofficials may approve the big box store only if they conclude 
that it” shall not adversely affect the Town’s financial health and its 
ability to serve its residents as evidenced by the projected impact on 
the local economy.”",,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Lifelong Learning Accounts,2006 Illinois Public Acts 94-1006,Illinois Lifelong Learning Act of 2006,2006,Illinois Legislature,http://www.ilga.gov/,Illinois,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Lifelong_Learning_Accounts/2006_Illinois_Public_Acts_94-1006.pdf,,,"An act which amends the Department of Commerce and Economic 
Opportunity Law of the Civil Administrative Code of Illinois. Authorizes
 the Department of Commerce and Economic Opportunity to establish and 
maintain a pilot program to provide for and test the use of lifelong 
learning accounts for workers in the State's healthcare sector. Sets 
forth requirements for the program, including matching grants for 
employer and employee contributions into an employee's lifelong learning
 account. Provides that the program is discretionary on the part of the 
Department and is subject to appropriation.",2006 Illinois Senate Bill 2931,http://www.ilga.gov/legislation/94/SB/PDF/09400SB2931.pdf,http://www.ilga.gov/legislation/billstatus.asp?DocNum=2931&GAID=8&GA=94&DocTypeID=SB&LegID=24042&SessionID=50,"LiLA, Workforce Development, Economic Development, Lifelong Learning, ",
Location Efficient Subsidies,1996 Illinois Public Act 94-0966,Business Location Efficiency Incentive Act,2006,Illinois Legislature,http://www.ilga.gov/,Illinois,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Location_Efficient_Subsidies/1996_Illinois_Public_Act_94-0966.pdf,,,"An act which creates the Business Location Efficiency Incentive
 Act. The act authorizes companies applying to the Department of Commerce and 
Economic Opportunity for certain economic development assistance tax 
credits to seek increased or extended tax credits if (i) the company's 
proposed project site is located in an area that capitalizes upon 
affordable workforce housing or accessible mass transit, (ii) the 
company submits to the Department an approved remediation plan to 
improve housing or access to mass transit, or (iii) the company's 
project is located in labor surplus areas.",2006 Illinois Senate Bill 2885,http://www.ilga.gov/legislation/94/SB/PDF/09400SB2885.pdf,http://www.ilga.gov/legislation/billstatus.asp?DocNum=2885&GAID=8&GA=94&DocTypeID=SB&LegID=23994&SessionID=50#actions,"Location Efficient Development, Economic Development, Public Transportation, Workforce Housing, ",
Contraceptive Equity,2006 Contraceptive Equity Model Act,,2006,Center for Policy Alternatives,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Contraceptive_Equity/2006_Contraceptive_Equity_Model_Act.pdf,,,The Equity in Prescription Insurance and Contraceptive Coverage Act prohibits health insurance plans that cover prescription drugs and devices from refusing coverage for contraceptives. ,,,,"Contraceptive Equity, Contraception, Conscience Clause, Abortion",
End Voter Intimidation and Caging,2006 Minnesota Chapter 242,,2006,Minnesota legislature,http://www.leg.state.mn.us/,Minnesota,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/2006_Minnesota_Chapter_242.pdf,,,This act should be read in conjunction with 2006 Minnesota Chapter 156.  Section 21 of this act prohibits challengers and the political parties that appointed them from compiling lists of voters to challenge on the basis of mail sent by a political  party that was returned as undeliverable or if receipt by the intended recipient was not acknowledged in the case of registered mail.,,,https://www.revisor.mn.gov/revisor/pages/search_status/status_detail.php?b=Senate&f=SF2743&ssn=0&y=2006,Voter suppression,
End Voter Intimidation and Caging,2006 Washington Chapter 320,,2006,Washington legislature,http://www.leg.wa.gov/pages/home.aspx,Washington,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/End_Voter_Intimidation_and_Caging/2006_Washington_Chapter_320.pdf,,,"This act requires that a challenge to a person's right to vote must be based on personal knowledge of that the challenged voter has been (a) convicted of a felony and the voter's civil rights have not been restored, (b) has been judicially declared ineligible to vote due to mental incompetency, (c) does not live at the residential address provided, in which case the challenger must either provide the challenged voter's actual residence on the challenge form, or submit listed pieces of evidence that he or she exercised due diligence to verify that the challenged voter is not eligible to vote, (d) he challenged voter will not be eighteen years of age by the next election; or (e) the challenged voter is not a citizen of the United States.  The act requires that all challenges to voter eligibility must be accompanied by an affidavit signed by the challenger which includes the factual basis for the challenge.  The challenge may not be based on unsupported allegations or allegations by anonymous third parties.",,,,Voter suppression,
Re-Enfranchise Ex-Felons,2006 Rhode Island Chapter 366,"Rhode Island Restoration of Voting
Rights Act",2006,Rhode Island legislature,http://www.rilin.state.ri.us/,Rhode Island,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Re-Enfranchise_Ex-Felons/2006_Rhode_Island_Chapter_366.pdf,,,"This act restores the right to vote to individuals convicted of felony offenses when such an individual is no longer under the incarcerated by the Rhode Island Department of Corrections, the Department of Corrections shall provide that person with a voter registration form, assistance in filling out the form, and a document certifying the person is eligible to vote. The Department of Corrections shall deliver completed voter registration forms to the appropriate registration agency. Before accepting a plea of guilty or nolo contendere to a felony, and before imposing a felony sentence after trial, the court shall notify the defendant that conviction will result in loss of the right to vote as long as the person is confined and that voting rights are restored upon discharge.",,,http://www.rilin.state.ri.us/Billstatus06/S2301.PDF,Felon disenfranchisement,
High School Civics Education,Civics in Schools Model Act,,2006,Center on Wisconsin Strategy,,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Education/High_School_Civics_Education/Civics_in_Schools_Model_Act.pdf,,,"The Civics in Schools Act requires the [State Board of Education] to develop and 
implement comprehensive civics education curricula for all [high schools and middle schools] in order 
to improve students’ civic knowledge, skills and attitudes",,,,,
Appliance Efficiency Standards,"2006, California Code of Regulations, 20-2-4, 1601-1608",Appliance Efficiency Standards ,2006,California Energy Commission ,http://www.energy.ca.gov/,California ,Exemplary,State,Administrative Rule ,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Appliance_Efficiency_Standards/2006_California_Code_of_Regulations_20_2_4_1601_1608.pdf,,,"Twenty-one major categories of appliances are included in the scope of these regulations. The standards within these regulations apply to appliances that are sold or offered for sale in California, except those sold wholesale in California for final retail sale outside the state and those designed and sold exclusively for use in recreational vehicles
or other mobile equipment.",,,,,
Big Box Retailing,2006 Alameda County California Ordinance 0-2006-18,,2006,Alameda County Board of Supervisors,http://www.acgov.org/board/,California,Exemplary,County,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/2006_Alameda_California_Ordinance_2006-18.pdf,,,"An ordinance which requires that proposed large retail developments  undergo a community impact review 
and obtain a conditional use permit. The cost of all independent studies and investigations required to complete the review are to be paid by the developer.",,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Minimum Wage Increase and Index,2006 Chicago Substitute Ordinance 2971,,2006,Chicago City Council,http://www.cityofchicago.org/city/en/about/council.html/,Illinois,Exemplary,Municipal,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Minimum_Wage-Increase_and_Index/2006_Chicago_Substitute_Ordinance_2971.pdf,,,"Requires that employees of large retailers within the city be provided with a living wage, set at $10.60 in 2006 and indexed to an inflationary measure. Also provides that a certain level of benefits be provided to employees of large retailers. Establishes ""first source"" hiring requirements for large retailers.",,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development,",
Paid Sick Days,2006 Washington House Bill 2777,,2006,Washington Legislature,http://www.leg.wa.gov,Washington,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Paid_Sick_Days/2006_Washington_HB_2777.pdf,,,Requires that employers provide employees with a minimum of up to 40 hours of paid sick leave for every six months of work.,,,,Paid Leave,
Section 8 Voucher Discrimination Prevention,2006 Source of Income Anti-Discrimination Model Act,,2006,Center for Policy Alternatives,,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Section_8_Voucher_Discrimination_Prevention/2006_Source_of_Income_Anti-Discrimination_Model_Act.pdf,,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Section_8_Voucher_Discrimination_Prevention/2006_Source_of_Income_Anti-Discrimination_Model_Act.doc,This bill prohibits landlords from refusing tenants because they would pay rent with Section 8 vouchers.,,,,,
Death Penalty Reform,Death Penalty Moratorium Model Act,,2006,Center for Policy Alternatives,,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Public_Safety/Death_Penalty_Reform/Death_Penalty_Moratorium_Model_Act.pdf,,,"This act allows states to impose a moratorium on death penalty executions in order to examine and address the causes and effects of wrongful convictions, and the fairness of sentencing. The act would also increase post-conviction access to DNA testing for death row inmates.",,,,,
Juvenile Detention Reform,Model Juvenile Detention Reform Model Act,,2006,Center for Policy Alternatives,,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Public_Safety/Juvenile_Detention_Reform/Model_Juvenile_Detention_Reform_Act.pdf,,,This bill prohibits a juvenile from being placed in pre-trial detention unless it is determined by an assessment instrument that the child poses a substantial risk of harm to others or has demonstrated that there is a substantial risk that he or she may leave the jurisdiction of the court.  This bill requires that a judge review the appropriateness of pretrial detention within 24 hours if a juvenile is placed in pre-trial detention and that a review of the determination be preformed at every pre-trial conference.  This bill requires that he Department of Juvenile Justice develop and implement a detention risk assessment instrument.,,,,,
Lifelong Learning Accounts,2006 Indiana House Bill 1173,,2006,Indiana Legislature,http://www.in.gov/legislative/index.htm,Indiana,Exemplary,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Lifelong_Learning_Accounts/2006_Indiana_House_Bill_1173.pdf,,,"This act establishes a pilot lifelong learning matching grant program. Allows the
 department of workforce development to award certain employees matching
 grants of up to $500 to pay for eligible education expenses.",,,http://www.in.gov/apps/lsa/session/billwatch/billinfo?year=2006&request=getActions&doctype=HB&docno=1173,"LiLA, Workforce Development, Economic Development, Lifelong Learning,",
Instant Run-Off Voting,Instant Runoff Voting Model Act,,2006,Fair Vote,http://www.fairvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/Instant_Runoff_Voting_Model_Act.pdf,,,"This bill implements the instant runoff voting method of determining winners in elections. The method produces a majority winner in a single election by simulating a series of runoff elections. All first choices  are counted, and if any candidate receives a majority of first choices, that candidate is elected.  If no  candidate receives a majority, the candidate with the fewest votes is eliminated, and all ballots are  recounted as one vote for each voter’s highest-ranked candidate who has not been eliminated.  The process of eliminating candidates and recounting ballots continues until one candidate receives a majority. ",,,,,
Instant Run-Off Voting,Instant Runoff Voting for Plurality Requirement Jurisdictions Model Act,,2006,Fair Vote,http://www.fairvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/Instant_Runoff_Voting_for_Plurality_Requirement_Jurisdictions_Model_Act.pdf,,,"This bill implements the instant runoff voting method of determining winners in elections. The method simulates the ballot counts that would occur if all voters participated in a series of runoff elections with the weakest candidate eliminated after each round of counting. Each time a candidate is eliminated, all ballots are recounted, and each ballot counts as one vote for the voter’s highest-ranked candidate who has not been eliminated. Rounds proceed until there are two candidates remaining, and the candidate with the most votes is declared the winner. ",,,,,
No-Excuse Absentee Voting,No-Excuse Absentee and Early Voting Model Act,,2006,Center for Policy Alternatives,,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/No-Excuse_Absentee_Voting/No-Excuse_Absentee_and_Early_Voting_Model_Act.pdf,,,This bill authorizes absentee and early voting. Absentee voting allows any duly registered citizen to cast an absentee ballot without requiring explanation of his or her desire to vote absentee. Early voting allows any duly registered citizen to cast a ballot at local election supervisors’ offices and designated satellite voting locations within a specified number of days prior to the election. Both policies remove obstacles to voting in ways that preserve the integrity of elections.,,,,,
Re-Enfranchise Ex-Felons,Restoration of Voting Rights Model Act,,2006,Brennan Center,http://www.brennancenter.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Re-Enfranchise_Ex-Felons/Restoration_of_Voting_Rights_Model_Act.pdf,,,This bill restores the right to vote upon discharge from incarceration to an individual who has been disenfranchised due to a felony conviction.  This bill requires notification of the loss of the right to vote before a plea of guilty or nolo contendere to a felony and before imposing a felony sentence after trial and  notice of restoration of the right to vote upon discharge from incarceration.,,,,Felon disenfranchisement,
Minimum Wage Increase and Index,Colorado Amendment 42 Minimum Wage Increase,Colorado Minimum Wage,2006,Colorado Iitiative,,Colorado,Exemplary,State,Constitutional Amendment,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Minimum_Wage-Increase_and_Index/2006_Colorado_Amendment_42.pdf,,,"An amendment to the Colorado constitution concerning the state minimum  wage, and, in connection therewith, increasing Colorado's minimum wage to $6.85 per hour, adjusted annually for inflation, and providing that no more than $3.02 per hour in tip income may be used to offset the minimum wage of employees who regularly receive tips.",,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development,",
Employee Protection From No Match Letters,2006 Model Santa Fe Resolution,,2006,,,New Mexico,Model,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Immigrant_Rights/Employee_Protection_From_No_Match_Letters/2006_Model_Santa_Fe_Resolution.pdf,,,"This ordinance requires that uponupon receipt of a “No-Match” letter, the City of Santa Fe will take no adverse action against any city employee listed on the notice, including firing, laying off, suspending, retaliating, or discriminating against any such employee, and that the City of Santa Fe will not ask any employee, either orally or in writing, to provide documentation to re-verify immigration status, except as required by law.",,,,,
Banning Corporate Water Withdrawals for Resale,Barnstead Water Rights and Local Self-Government Ordinance,,2006, Town of Barnstead,http://www.barnstead.org/,New Hampshire ,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Banning_Corporate_Water_Withdrawals_for_Resale/Barnstead_Water_Rights_And_Local_Self-Ordinance.pdf,,, Prohibits corporate water withdrawals.,,,,,
City Fleet Biodiesel,2006 Portland Alternative Fuels Ordinance ,,2006,Portland City Council,http://www.portlandonline.com/index.cfm?c=25783,Oregon,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/City_Fleet_Biodiesel/2006_Portland_Alternative_Fuels_Ordinance.pdf,,,Mandate minimum blends of biodiesel and ethanol in petroleum-based fuels sold in Portland and  require city-owned vehicles to maximize use of renewable fuels,,,,,
Climate Action Plan Excise Tax,2006 Boulder Ordinance Number 7483,,2006,Boulder City Council,http://www.bouldercolorado.gov/index.php?option=com_content&task=view&id=68&Itemid=130,Colorado,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Climate_Action_Plan_Excise_Tax/2006_Boulder_Ordinance_Number_7483.pdf,,,Authorizes the city to levy an excise tax from electricity customers for funding a climate action plan.,,,,Ballot Issue No. 202,
Local Purchasing Preferences,"Local Food Purchasing and Organic Conversion Policies-Woodbury County, Iowa",,2006,Institute for Local Self Reliance,http://www.ilsr.org/,Iowa,Support,County,Other ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/Local_Purchasing_Preferences/Local_Food_Purchasing_and_Organic_Conversion_Policies_Woodbury_County_Iowa.pdf,,,Summary of the Woodbury County Local Food Purchase Policy,,,,"Local Procurement, Local Food, Government Procurement, Government Contacting,",
Minimum Wage Increase and Index,2006 Arizona Proposition 202,Raise the Minimum Wage for Working Arizonans Act,2006,voteyeson202.com,,Arizona,Exemplary,State,Citizens' Initiative,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Minimum_Wage-Increase_and_Index/2006_Arizona_Proposition_202.pdf,,,Provides for annual minimum wage increases for two years and indexing of the minimum wage to a consumer price index measure thereafter.,,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development,",
Paid Sick Days,2006 San Francisco Proposition F,Paid Sick Leave Ordinance,2006,San Francisco Board of Supervisors,http://www.sfbos.org/,California,Exemplary,Municipal,Citizens' Initiative,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Paid_Sick_Days/2006_San_Francisco_Proposition_F.pdf,,,"Requires employers to provide up to a minimum of 72 hours of paid sick time, depending on business size, to employees.",,,http://sfpl.org/index.php?pg=2000027201&propid=1780,"Paid Leave, Sick Leave",
Youth Development Fund,Communities Support Healthy Youth Development,,2006,The California Endowment ,http://calendow.org/,California,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Education/Youth_Development_Fund/Communities_Support_Healthy_Youth_Development.pdf,,,Report on strategies states can use to implement youth development programs,,,,"After School Programs, School Tutoring, Workforce Development,",
End Use of Abusive Tax Shelters,Abusive Tax Shelters: Impact of Recent California Legislation,,2006,California Legislative Analyst's Office,http://www.lao.ca.gov/laoapp/main.aspx,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/End_Use_of_Abusive_Tax_Shelters/abusive_tax_shelters_report_Jan_2006.pdf,,,"A report on how recent California legislation has affected and deterred abusive corporate tax shelters, which allow corporations to avoid paying income tax in the state.",,,,,
Expanded Unpaid Family Leave,"State-by-State Guide to
Unpaid, Job-Protected
Extended Time off Laws",,2006,Workplace Flexibility,http://workplaceflexibility2010.org/,,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Expanded_Unpaid_Family_Leave/State_FMLA_chart_FINAL.pdf,,,"Spreadsheet of state legislation relating to unpaid, job protected time off ",,,,"Paid Leave, FMLA, Family Medical Leave Act,",
Economic Development Incentive Grant,Basic Municipal Law Seminar,,2006,"Jeff Moore Brown & Hofmeister, L.L.P. ",http://www.bhlaw.net/,Texas,Support,State,Report,http://www.BrandeisProject.org/Alice/Web_Folder/Infrastructure_and_Smart_Growth/Economic_Development_Incentive_Grant/Basic_Municipal_Law_Seminar.pdf,,,Report on how Texas municipalities can use economic development strategies under the Texas state statutes,,,,"Economic Development, MUDs, Municipal Utilities District",
PerformanceStat,Less is More: Progressive Approaches to Governmental Accountability,,2006,"Public Works, Eric Schnurer",http://www.stateinnovation.org,,Support,,Report ,http://www.BrandeisProject.org/Alice/Web_Folder/Government_Performance/PerformanceStat/Less_is_More_Progressive_Approaches_to_Governmental_Accountability.pdf,,,A report on the effectiveness of performance measurement programs,,,http://www.in.gov/apps/lsa/session/billwatch/billinfo?year=2010&request=getActions&doctype=HB&docno=1003,"StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",
Local and Organic Food Purchasing Policy,2006 Woodbury County Local Food Purchasing Resolution ,,2006,Woodbury City Council,http://www.woodburyiowa.com/,Iowa,Exemplary,Municipal,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Local_and_Organic_Food_Purchasing_Policy/2005_Woodbury_County_Local_Food_Purchasing_Resolution.pdf,,,"An act requiring Woodbury County purchase, by or through its food service contractor, locally produced organic food when a department of Woodbury County serves food in the usual course of
 business. The contractor may cover unavailable local organic supply 
through its current procurement practices with preference to be given 
local non-organic food products. An arbitration board shall be 
established to assure fair value to Woodbury County. A 
single-point-of-contact broker, located in Woodbury County, shall 
interact with food service contractor, for availability, price, quality,
 presentation and delivery terms of all locally produced organic food",,,,"Local Procurement, Local Food, Organic Food, Government Procurement, Government Contracting",
Windfall Profit Tax on Oil,2007 Washington House Bill 1510,,2007,Washington Legislature,http://www.leg.wa.gov/pages/home.aspx,Washington,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Windfall_Profit_Tax_on_Oil/2007_Washington_House_Bill_1510.pdf,,,"An act to create a tax intended to create an incentive for major oil companies to keep retail gasoline prices at historically reasonable levels and a disincentive to increase prices to gain windfall profits. If oil companies choose to raise their prices to an unreasonable level, the tax the tax will generate substantial revenue which can be used to partially offset the adverse effects of high gasoline prices by providing additional funding for public goods and services that are linked to the current costs of  energy or the development of renewable in-state energy resources.",,,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1510&year=2007#history,,
